geo_point;nom;sites_olympiques_paralympiques;sports
48.841319, 2.253076;Parc des Princes;Site olympique;Football
48.924388, 2.359871;Stade de France;Site olympique,Site paralympique;Athlétisme,Para athlétisme,Rugby
48.751095, 2.0759;Golf national;Site olympique;Golf
48.788046, 2.034987;Vélodrome National de Saint-Quentin-en-Yvelines;Site olympique,Site paralympique;Cyclisme sur piste,Para cyclisme sur piste
48.84732, 2.245501;Stade Roland Garros;Site olympique,Site paralympique;Tennis,Tennis fauteuil,Boxe
48.911184, 2.546395;Clichy-sous-Bois;Site paralympique;Para cyclisme sur route
48.830231, 2.289126;Arena Paris Sud 4 (Porte de Versailles);Site olympique,Site paralympique;Tennis de table,Para tennis de table
48.856858, 2.351415;Hôtel de ville de Paris;Site olympique;Athlétisme
48.856262, 2.2914;Pont d'Iéna;Site olympique;Cyclisme sur route,Athlétisme
48.838649, 2.378496;Arena Bercy;Site olympique,Site paralympique;Basketball,Basket fauteuil,Gymnastique artistique,trampoline
48.971314, 2.519183;Arena Paris nord;Site olympique,Site paralympique;Boxe,Escrime,Pentathlon moderne,Volley-ball assis
48.829624, 2.290777;Arena Paris Sud 6 (Porte de Versailles);Site olympique,Site paralympique;Haltérophilie,Handball,Goalball
48.865589, 2.321205;Stade de la Concorde;Site olympique;Basketball 3x3,BMX freestyle,Breaking,Skateboard
48.930873, 2.249836;Stade Yves du Manoir;Site olympique;Hockey
48.854536, 2.300413;Arena Champs de Mars;Site olympique,Site paralympique;Judo,Para judo,Lutte,Rugby fauteuil
48.89566, 2.22971;La Défense Arena;Site olympique,Site paralympique;Natation,Para natation,Water-polo
48.862229, 2.636374;Stade nautique;Site olympique,Site paralympique;Canoë,Para canoë,Aviron,Para aviron
48.832068, 2.284126;Arena Paris Sud 1 (Porte de Versailles);Site olympique,Site paralympique;Volleyball,Boccia
48.857232, 2.296084;Stade Tour Eiffel;Site olympique,Site paralympique;Volleyball de plage,Cécifoot
48.787261, 2.034736;Stade BMX de Saint-Quentin-en-Yvelines;Site olympique;BMX race
48.899483, 2.361803;Arena La Chapelle;Site olympique,Site paralympique;Badminton,Para Badminton,Gymnastique rythmique,Para powerlifting
48.835157, 2.257363;Stade Pierre de Coubertin;Site paralympique;Goalball
48.923457, 2.355527;Centre aquatique;Site olympique;Natation artistique,Plongeon,Water-polo
48.92467, 2.332428;Village olympique;;
48.815115, 2.08208;Château de Versailles;Site olympique,Site paralympique;Sports équestres,Para équitation,Pentathlon moderne
48.944207, 2.424716;Village des médias;;
48.944643, 2.408258;Terrain des Essences - La Courneuve;Site paralympique;Para athlétisme
48.788162, 1.967776;Colline d'Elancourt;Site olympique;VTT
48.866041, 2.312406;Grand Palais;Site olympique,Site paralympique;Escrime,Escrime fauteuil,Taekwondo,Para taekwondo
48.862286, 2.313222;Invalides;Site olympique,Site paralympique;Tir à l'arc,Para tir à l'arc,Athlétisme,Cyclisme sur route
48.937188, 2.420467;Site d'escalade du Bourget;Site olympique;Escalade sportive
